genre_name,coordinate_top,coordinate_left,estimated_mood
nyc rap,11553,1051,Atmospheric/Calm
modern blues rock,11442,484,Atmospheric/Calm
rock nacional brasileiro,7931,650,Atmospheric/Calm
philly rap,10096,1038,Atmospheric/Calm
afrofuturism,10460,845,Atmospheric/Calm
healing hz,19499,108,Deep/Acoustic
cumbia pop,6412,1075,Atmospheric/Calm
rap latina,5401,1148,Atmospheric/Calm
reggae,7322,1212,Atmospheric/Calm
madchester,5803,441,Atmospheric/Calm
spanish pop rock,6086,674,Atmospheric/Calm
k-rap,6666,1023,Atmospheric/Calm
dutch hip hop,6903,1123,Atmospheric/Calm
trip hop,4530,868,Atmospheric/Calm
la indie,7149,492,Atmospheric/Calm
alternative dance,2674,815,Atmospheric/Calm
v-pop,10785,724,Atmospheric/Calm
rap rock,4632,804,Atmospheric/Calm
funk consciente,8812,1258,Atmospheric/Calm
indie anthem-folk,13626,542,Atmospheric/Calm
musica chihuahuense,9294,899,Atmospheric/Calm
chill house,6855,756,Atmospheric/Calm
australian hip hop,5680,1026,Atmospheric/Calm
azontobeats,8714,1026,Atmospheric/Calm
new americana,14205,618,Atmospheric/Calm
tejano,8990,1007,Atmospheric/Calm
korean ost,13663,526,Atmospheric/Calm
nova mpb,11542,841,Atmospheric/Calm
dutch edm,1999,868,Atmospheric/Calm
j-division,3857,535,Atmospheric/Calm
sertanejo tradicional,13237,843,Atmospheric/Calm
acoustic pop,12574,581,Atmospheric/Calm
aesthetic rap,5088,1011,Atmospheric/Calm
pop flamenco,9955,849,Atmospheric/Calm
cancion melodica,16891,607,Atmospheric/Calm
sigilkore,7224,586,Atmospheric/Calm
rap conciencia,12734,1049,Atmospheric/Calm
neo-psychedelic,10600,388,Deep/Acoustic
dutch pop,9749,708,Atmospheric/Calm
adoracao,10295,384,Deep/Acoustic
ska argentino,6642,841,Atmospheric/Calm
irish rock,10337,449,Atmospheric/Calm
classic italian pop,14983,659,Atmospheric/Calm
indie pop rap,6955,990,Atmospheric/Calm
pop r&b,8101,911,Atmospheric/Calm
groove metal,8552,242,Deep/Acoustic
power metal,5740,203,Deep/Acoustic
lo-fi study,11717,921,Atmospheric/Calm
classic country pop,15448,772,Atmospheric/Calm
danish pop,5632,887,Atmospheric/Calm
jazz,19462,901,Atmospheric/Calm
industrial rock,3390,508,Atmospheric/Calm
hyperpop,5237,767,Atmospheric/Calm
axe,9076,899,Atmospheric/Calm
phonk brasileiro,6929,1094,Atmospheric/Calm
pixie,4062,370,Deep/Acoustic
bossa nova,16844,828,Atmospheric/Calm
uk post-punk,8013,490,Atmospheric/Calm
lo-fi indie,13701,501,Atmospheric/Calm
cumbia sonidera,4951,1099,Atmospheric/Calm
southern soul,13274,845,Atmospheric/Calm
roots reggae,6916,1210,Atmospheric/Calm
sad rap,7153,982,Atmospheric/Calm
german techno,1479,1055,Atmospheric/Calm
lo-fi beats,13442,1023,Atmospheric/Calm
sad lo-fi,10894,975,Atmospheric/Calm
pop emo,3887,325,Deep/Acoustic
binaural,18352,104,Deep/Acoustic
german metal,5890,249,Deep/Acoustic
cumbia villera,9668,1011,Atmospheric/Calm
latin worship,8199,460,Atmospheric/Calm
german dance,2075,899,Atmospheric/Calm
drill,6061,979,Atmospheric/Calm
pop edm,3390,713,Atmospheric/Calm
arab pop,9599,746,Atmospheric/Calm
brazilian reggae,8740,1009,Atmospheric/Calm
broadway,18218,521,Atmospheric/Calm
roots rock,14045,683,Atmospheric/Calm
samba,15510,849,Atmospheric/Calm
tech house,555,1347,Unknown
filter house,1973,982,Atmospheric/Calm
video game music,12423,272,Deep/Acoustic
neo-classical,20923,512,Atmospheric/Calm
jazz pop,15809,790,Atmospheric/Calm
show tunes,16435,615,Atmospheric/Calm
rap canario,7030,1117,Atmospheric/Calm
mollywood,12786,802,Atmospheric/Calm
sufi,12872,731,Atmospheric/Calm
swedish hip hop,10271,1034,Atmospheric/Calm
turkish alt pop,10122,708,Atmospheric/Calm
hollywood,16102,627,Atmospheric/Calm
spanish rock,7556,639,Atmospheric/Calm
nursery,13540,969,Atmospheric/Calm
irish singer-songwriter,14377,549,Atmospheric/Calm
electro latino,2513,1041,Atmospheric/Calm
shimmer pop,5231,573,Atmospheric/Calm
lullaby,17797,462,Atmospheric/Calm
korean r&b,8855,917,Atmospheric/Calm
baton rouge rap,5413,1121,Atmospheric/Calm
skate punk,7409,342,Deep/Acoustic
grime,6942,1019,Atmospheric/Calm
country pop,6394,537,Atmospheric/Calm
german rock,8236,621,Atmospheric/Calm
nigerian hip hop,9705,1082,Atmospheric/Calm
russian pop,3632,847,Atmospheric/Calm
noise pop,10637,337,Deep/Acoustic
speed metal,8222,203,Deep/Acoustic
canadian trap,5453,1071,Atmospheric/Calm
indonesian indie,9959,492,Atmospheric/Calm
rap marseille,8677,1090,Atmospheric/Calm
vallenato,10994,1148,Atmospheric/Calm
kentucky hip hop,5085,1166,Atmospheric/Calm
ohio hip hop,7026,1005,Atmospheric/Calm
la pop,7211,760,Atmospheric/Calm
swedish trap pop,10183,1068,Atmospheric/Calm
salsa puertorriquena,13831,1041,Atmospheric/Calm
environmental,17154,43,Deep/Acoustic
musica para ninos,15985,659,Atmospheric/Calm
french indie pop,6343,774,Atmospheric/Calm
hindi hip hop,5866,1108,Atmospheric/Calm
tollywood,7742,980,Atmospheric/Calm
ambient pop,13335,358,Deep/Acoustic
stutter house,3595,899,Atmospheric/Calm
cloud rap francais,11315,1047,Atmospheric/Calm
jazz blues,19341,864,Atmospheric/Calm
background piano,21730,499,Atmospheric/Calm
lagu jawa,6356,834,Atmospheric/Calm
florida drill,5904,1153,Atmospheric/Calm
cuarteto,7090,927,Atmospheric/Calm
dreamo,6530,274,Deep/Acoustic
turbo folk,6531,751,Atmospheric/Calm
pinoy hip hop,6678,1081,Atmospheric/Calm
czsk hip hop,7140,1028,Atmospheric/Calm
rap napoletano,8322,925,Atmospheric/Calm
chicago drill,6425,1005,Atmospheric/Calm
japanese singer-songwriter,10109,591,Atmospheric/Calm
oxford indie,8124,437,Atmospheric/Calm
new rave,2688,815,Atmospheric/Calm
french rock,11378,819,Atmospheric/Calm
swedish electropop,3039,783,Atmospheric/Calm
classic j-pop,4676,556,Atmospheric/Calm
polish pop,6233,659,Atmospheric/Calm
drill francais,6564,1152,Atmospheric/Calm
new jack swing,4135,984,Atmospheric/Calm
canadian singer-songwriter,13750,599,Atmospheric/Calm
drill espanol,8297,1134,Atmospheric/Calm
gym hardstyle,3624,454,Atmospheric/Calm
indonesian singer-songwriter,13737,596,Atmospheric/Calm
dangdut,7668,677,Atmospheric/Calm
swing,19842,925,Atmospheric/Calm
deep house,1121,1226,Atmospheric/Calm
new french touch,2964,955,Atmospheric/Calm
industrial,6075,508,Atmospheric/Calm
uk alternative pop,7643,650,Atmospheric/Calm
coverchill,13957,893,Atmospheric/Calm
hare krishna,14798,700,Atmospheric/Calm
complextro,2731,783,Atmospheric/Calm
kollywood,7224,969,Atmospheric/Calm
uk metalcore,5965,214,Deep/Acoustic
baroque,20573,394,Deep/Acoustic
el paso indie,9157,360,Deep/Acoustic
flamenco urbano,7067,1045,Atmospheric/Calm
modern indie folk,14230,524,Atmospheric/Calm
country rap,4620,945,Atmospheric/Calm
early music,20660,388,Deep/Acoustic
glitchcore,5260,667,Atmospheric/Calm
cantopop,10425,615,Atmospheric/Calm
bachata dominicana,7521,1231,Atmospheric/Calm
modern folk rock,13170,515,Atmospheric/Calm
egyptian pop,7285,858,Atmospheric/Calm
mexican indie,5523,670,Atmospheric/Calm
bubblegrunge,9537,388,Deep/Acoustic
beatlesque,10613,454,Atmospheric/Calm
norwegian pop,8802,624,Atmospheric/Calm
meditation,19521,87,Deep/Acoustic
symphonic metal,6100,192,Deep/Acoustic
arabesk,13775,612,Atmospheric/Calm
german drill,7273,1128,Atmospheric/Calm
deep underground hip hop,7900,1073,Atmospheric/Calm
electronic trap,3519,858,Atmospheric/Calm
classic pakistani pop,14490,739,Atmospheric/Calm
electric blues,15634,887,Atmospheric/Calm
weirdcore,9269,847,Atmospheric/Calm
late romantic era,22024,325,Deep/Acoustic
chill r&b,10499,860,Atmospheric/Calm
meme rap,6980,1043,Atmospheric/Calm
viral rap,4753,1173,Atmospheric/Calm
japanese vgm,11056,427,Atmospheric/Calm
funk ostentacao,7013,1259,Atmospheric/Calm
trap funk,7215,1170,Atmospheric/Calm
arrochadeira,5085,1311,Atmospheric/Calm
indie r&b,9456,903,Atmospheric/Calm
pop rock brasileiro,6208,563,Atmospheric/Calm
previa,3594,1285,Atmospheric/Calm
blues,17792,1000,Atmospheric/Calm
covertronica,3013,856,Atmospheric/Calm
pagode baiano,11628,1106,Atmospheric/Calm
indie rock italiano,7136,508,Atmospheric/Calm
bhojpuri pop,7186,790,Atmospheric/Calm
neue deutsche harte,2878,433,Atmospheric/Calm
scandipop,3916,911,Atmospheric/Calm
classic canadian rock,10514,517,Atmospheric/Calm
meme,5143,969,Atmospheric/Calm
belgian edm,2156,929,Atmospheric/Calm
indonesian jazz,11969,753,Atmospheric/Calm
contemporary vocal jazz,17303,802,Atmospheric/Calm
nu-cumbia,4893,1055,Atmospheric/Calm
rap dominicano,6135,1203,Atmospheric/Calm
anime score,14733,454,Atmospheric/Calm
classic swedish pop,11193,686,Atmospheric/Calm
ambient lo-fi,14590,319,Deep/Acoustic
swamp rock,12067,788,Atmospheric/Calm
vocaloid,3127,510,Atmospheric/Calm
classical era,21693,462,Atmospheric/Calm
pakistani hip hop,7508,1110,Atmospheric/Calm
australian psych,9512,275,Deep/Acoustic
australian indie,7335,533,Atmospheric/Calm
instrumental hip hop,6741,909,Atmospheric/Calm
c-pop,12884,554,Atmospheric/Calm
old school atlanta hip hop,4186,1086,Atmospheric/Calm
indonesian rock,6803,439,Atmospheric/Calm
punk blues,11857,437,Atmospheric/Calm
taiwan pop,8815,581,Atmospheric/Calm
power pop,9439,462,Atmospheric/Calm
schlager,3127,746,Atmospheric/Calm
chillhop,10969,1060,Atmospheric/Calm
russian trap,6146,1004,Atmospheric/Calm
nz pop,7631,804,Atmospheric/Calm
gujarati pop,12351,697,Atmospheric/Calm
memphis soul,13970,881,Atmospheric/Calm
musica popular colombiana,12611,1157,Atmospheric/Calm
mambo chileno,4016,1168,Atmospheric/Calm
christian rock,3899,287,Deep/Acoustic
classic indonesian rock,8224,479,Atmospheric/Calm
early romantic era,22061,447,Atmospheric/Calm
edmonton indie,9465,554,Atmospheric/Calm
sacramento indie,8321,406,Atmospheric/Calm
jam band,12961,677,Atmospheric/Calm
drum and bass,1739,862,Atmospheric/Calm
melbourne bounce international,1990,996,Atmospheric/Calm
dutch rap pop,6829,1150,Atmospheric/Calm
dangdut koplo,6766,813,Atmospheric/Calm
turkish folk,15746,609,Atmospheric/Calm
golden age hip hop,4136,1203,Atmospheric/Calm
javanese dangdut,6016,858,Atmospheric/Calm
post-punk argentina,7041,729,Atmospheric/Calm
alternative emo,6815,317,Deep/Acoustic
greek trap,6387,1040,Atmospheric/Calm
post-punk,9377,492,Atmospheric/Calm
hamburg hip hop,9090,1075,Atmospheric/Calm
soul blues,16423,854,Atmospheric/Calm
pop rap brasileiro,12301,996,Atmospheric/Calm
venezuelan hip hop,12252,1092,Atmospheric/Calm
j-pixie,3624,364,Deep/Acoustic
cantautora mexicana,9167,779,Atmospheric/Calm
deep euro house,945,1275,Atmospheric/Calm
pop lgbtq+ brasileira,9331,949,Atmospheric/Calm
bass house,1502,1214,Atmospheric/Calm
nouvelle chanson francaise,11280,758,Atmospheric/Calm
crunk,4124,1121,Atmospheric/Calm
electro,1675,1148,Atmospheric/Calm
operatic pop,18235,268,Deep/Acoustic
spanish indie pop,7510,462,Atmospheric/Calm
celtic rock,10956,439,Atmospheric/Calm
vietnamese hip hop,10158,1038,Atmospheric/Calm
p-pop,6458,774,Atmospheric/Calm
indie hip hop,11107,1032,Atmospheric/Calm
stoner rock,11234,247,Deep/Acoustic
pop house,1812,941,Atmospheric/Calm
bubblegum pop,14352,659,Atmospheric/Calm
argentine indie,9193,655,Atmospheric/Calm
modern bhajan,9443,872,Atmospheric/Calm
new york drill,8063,1128,Atmospheric/Calm
red dirt,8000,501,Atmospheric/Calm
irish pop,10539,624,Atmospheric/Calm
danish hip hop,6602,1062,Atmospheric/Calm
progressive metal,7878,247,Deep/Acoustic
canadian metal,8122,232,Deep/Acoustic
malaysian pop,7893,578,Atmospheric/Calm
countrygaze,13763,466,Atmospheric/Calm
indie garage rock,8911,441,Atmospheric/Calm
etherpop,10398,512,Atmospheric/Calm
ska,8515,832,Atmospheric/Calm
bebop,19354,913,Atmospheric/Calm
funk pop,3928,1162,Atmospheric/Calm
chilean rock,9468,741,Atmospheric/Calm
chinese viral pop,6879,813,Atmospheric/Calm
